MP:0013118	swellings
MP:0020384	absent kidney epithelial cell primary cilium
HP:0033011	Platystencephaly
HP:0032440	Blood group B
HP:0032224	ABO blood group
MP:0000814	absent dentate gyrus
MP:0005379	endocrine/exocrine gland phenotype
HP:0045056	Abnormal levels of alpha-fetoprotein
HP:0005557	Abnormality of the zygomatic arch
HP:0001951	Episodic ammonia intoxication
MP:0013618	decreased areal bone mineral density
MP:0006221	optic nerve hypoplasia
HP:0009611	Bifid distal phalanx of the thumb
HP:0009523	Triangular epiphysis of the middle phalanx of the 2nd finger
MP:0005606	increased bleeding time
MP:0011124	increased primary ovarian follicle number
HP:0500005	Anal pain
HP:0001132	Lens subluxation
MP:0030667	increased circulating proline level
MP:0020237	increased proline level
HP:0010751	Dimple chin
MP:0003727	abnormal retinal layer morphology
HP:0031022	Oropharyngeal squamous papilloma
MP:0011213	abnormal brain copper level
MP:0030077	small cranial cavity
MP:0030076	abnormal cranial cavity morphology
HP:0033251	Elevated residual volume
HP:0032730	Focal impaired awareness myoclonic seizure
MP:0009274	buphthalmos
HP:0003678	Rapidly progressive
HP:0100510	Low levels of vitamin C
HP:0008221	Adrenal hyperplasia
HP:0025329	Anti-glutamic acid decarboxylase antibody positivity
HP:0025422	Pleural cyst
HP:0010480	Urethral fistula
MP:0011984	decreased enteroendocrine cell number
MP:0004141	abnormal enteroendocrine cell morphology
MP:0030760	increased circulating dopamine level
HP:0006747	Ganglioneuroblastoma
HP:0410051	Increased level of 3-hydroxy-3-methylglutaric acid in urine
MP:0009223	increased uterus carcinoma incidence
HP:3000003	Abnormal mandibular ramus morphology
HP:0005885	Absent ossification of cervical vertebral bodies
HP:0500076	Alternating hypertropia
HP:0100434	Bullet-shaped middle phalanx of the 3rd toe
MP:0006393	absent nucleus pulposus
MP:0006392	abnormal nucleus pulposus morphology
HP:0002198	Dilated fourth ventricle
MP:0003627	abnormal leukocyte tethering or rolling
MP:0003628	abnormal leukocyte adhesion
MP:0011979	abnormal magnesium ion homeostasis
HP:0008496	Multiple rows of eyelashes
MP:0000910	small facial motor nucleus
MP:0014177	abnormal Weber's gland morphology
MP:0005408	hypopigmentation
MP:0002319	hyperoxia
MP:0030189	broad snout
HP:0100884	Compensatory scoliosis
MP:0011965	decreased total retina thickness
MP:0002864	abnormal ocular fundus morphology
HP:0031186	Abnormal circulating deoxycorticosterone level
MP:0004477	turbinate hypoplasia
HP:0011497	Iris neovascularization
HP:0012222	Arachnoid hemangiomatosis
HP:0004284	Notched hand bones
MP:0009017	prolonged estrus
MP:0004534	decreased inner hair cell stereocilia number
MP:0004218	meiotic nondisjunction during M1 phase
HP:0007112	Temporal cortical atrophy
MP:0030277	thin interparietal bone
HP:0025635	Ureteral polyp
HP:0012125	Prostate cancer
MP:0020510	increased dendritic spine length
MP:0020509	abnormal dendritic spine length
HP:0012473	Tongue atrophy
MP:0008917	abnormal oligodendrocyte physiology
HP:0001545	Anteriorly placed anus
MP:0011911	abnormal pancreatic endocrine progenitor cell physiology
HP:0040245	Reduced alpha-2-antiplasmin activity
MP:0008761	abnormal immunoglobulin light chain V-J recombination
HP:0032796	Focal impaired awareness cognitive seizure with left-right confusion
MP:0013617	increased areal bone mineral density
MP:0009518	abnormal anterior lingual gland morphology
HP:0025384	Diet-resistant subcutaneous adipose tissue
MP:0009911	increased hyoid bone size
HP:0025141	Gingival calcification
HP:0100753	Schizophrenia
HP:4000045	Spiral fracture
MP:0012068	abnormal globose cell of olfactory epithelium morphology
MP:0008311	abnormal parasympathetic preganglionic fiber morphology
MP:0011106	embryonic lethality between implantation and somite formation, incomplete penetrance
HP:0009945	Duplication of phalanx of 2nd finger
HP:0002383	Encephalitis
MP:0011512	mesangial cell interposition
HP:0002023	Anal atresia
MP:0002785	absent Leydig cells
MP:0005536	decreased Leydig cell number
MP:0011619	abnormal dishabituation
HP:0032998	Increased cystatin C level
HP:0031488	Arteriovenous malformation of the lip
MP:0030718	increased circulating lysine level
MP:0004483	absent interdental cells
MP:0004482	abnormal interdental cell morphology
HP:0010708	1-5 finger syndactyly
HP:0010282	Thin lower lip vermilion
HP:0006184	Decreased palmar creases
HP:0010488	Aplasia/Hypoplasia of the palmar creases
HP:0040164	Lipomas of eyelids
HP:0005473	Fusion of middle ear ossicles
MP:0014212	decreased pancreatic duct epithelial chloride transmembrane transport
MP:0014211	abnormal pancreatic duct epithelial chloride transmembrane transport
HP:0040114	Absence of the reflex of the tensor tympani muscle
HP:0030160	Cervicitis
MP:0010870	absent bone trabeculae
MP:0002350	abnormal efferent lymphatic vessel morphology
HP:0410354	Increased sialylated N-glycan level
MP:0013840	absent segment of posterior cerebral artery
MP:0012254	absent intersomitic vessels
HP:0032513	Four-vessel umbilical cord
HP:0012226	Ovarian teratoma
HP:0033390	Bronchial artery dilatation
MP:0020889	abnormal sodium level
MP:0011977	abnormal sodium ion homeostasis
HP:0030410	Sebaceous gland carcinoma
MP:0030857	absent olecranon
MP:0030856	abnormal olecranon morphology
HP:0025416	Vaginal stricture
MP:0003904	decreased cell mass
HP:0410399	Positive blood lead test
MP:0004250	tau protein deposits
HP:0032649	Skewfoot
HP:0410340	Focal epithelial hyperplasia of oral mucosa
MP:0009228	uterine cervix inflammation
MP:0014075	decreased brain glycogen level
MP:0002820	abnormal premaxilla morphology
MP:0004793	abnormal synaptic vesicle clustering
HP:0006454	Delayed patellar ossification
HP:0011588	Cervical aortic arch
HP:0011587	Abnormal branching pattern of the aortic arch
HP:0410231	Increased anti-egg IgE antibody level
HP:0033585	Fibrotic non-specific interstitial pneumonia
HP:0045043	Decreased serum complement C4a
MP:0011390	abnormal fetal cardiomyocyte physiology
HP:0012331	Abnormal autonomic nervous system morphology
MP:0020850	abnormal microtubule cytoskeleton morphology
MP:0020484	abnormal brain internal capsule topology
HP:0005160	Total anomalous pulmonary venous return
HP:0010772	Anomalous pulmonary venous return
MP:0011863	abnormal podocyte physiology
HP:0011511	Macular schisis
HP:0006739	Squamous cell carcinoma of the skin
HP:0032965	Interstitial emphysema
MP:0006307	abnormal seminiferous tubule size
MP:0011290	decreased nephron number
MP:0011289	abnormal nephron number
MP:0011273	prolonged excitatory postsynaptic current decay time
HP:0031766	Convergence excess esotropia
MP:0000411	shiny fur
HP:0011895	Anemia due to reduced life span of red cells
HP:0005360	Susceptibility to chickenpox
MP:0010864	abnormal enamel knot morphology
MP:0030519	abnormal inner dental epithelium morphology
HP:0009324	Enlarged epiphysis of the middle phalanx of the 3rd finger
MP:0013970	absent connection between subcutaneous lymph vessels and lymph sac
MP:0030770	increased urine adrenaline level
HP:0009303	Osteolytic defects of the distal phalanx of the 4th finger
HP:0030824	Mizuo phenomenon
HP:0040014	Increased mitochondrial number
HP:0012102	Abnormal mitochondrial number
HP:0040330	Confluent hyperintensity of cerebral white matter on MRI
HP:0004450	Preauricular skin furrow
MP:0001201	translucent skin
HP:0001812	Hyperconvex fingernails
HP:0004819	Normocytic hypoplastic anemia
MP:0030290	absent soft palate
MP:0003555	chordee
HP:0004390	Hamartomatous polyposis
HP:0009995	Partial duplication of the middle phalanx of the 5th finger
HP:0012321	D-2-hydroxyglutaric aciduria
MP:0004427	abnormal vestibular labyrinth morphology
MP:0006053	hypothalamus hemorrhage
MP:0030055	small lacrimal bone
MP:0004542	impaired acrosome reaction
HP:0004981	Prominent styloid process of ulna
MP:0013098	ear open abrasion
MP:0003389	constriction of pericardium
MP:0004576	abnormal embryonic autopod plate morphology
MP:0006279	abnormal limb development
HP:0011827	Malaligned philtral ridges
HP:0500033	Abnormal natural killer subset distribution
HP:0040089	Abnormal natural killer cell count
MP:0030984	increased circulating osteocalcin level
MP:0011922	abnormal circulating osteocalcin level
HP:0008988	Pelvic girdle muscle atrophy
MP:0010458	pulmonary trunk hypoplasia
HP:0005844	Rounded middle phalanx of finger
MP:0011098	embryonic lethality during organogenesis, complete penetrance
HP:0009531	Pseudoepiphysis of the proximal phalanx of the 2nd finger
HP:0006623	Costochondral joint sclerosis
HP:0005320	Lack of facial subcutaneous fat
HP:0006203	Decreased movement range in interphalangeal joints
HP:0006135	Decreased finger mobility
MP:0004851	increased testis weight
HP:0100798	Fingernail dysplasia
MP:0006432	abnormal costal cartilage morphology
MP:0011828	urinary bladder cyst
MP:0013574	ectopic parathyroid gland
HP:0007922	Hypermyelinated retinal nerve fibers
HP:0011118	Abnormality of tumor necrosis factor secretion
HP:0011113	Abnormality of cytokine secretion
HP:0003729	Enteroviral dermatomyositis syndrome
HP:0002743	Recurrent enteroviral infections
MP:0001787	pericardial edema
HP:0012562	Premature epimetaphyseal fusion in hand
MP:0030477	abnormal osteocyte physiology
HP:0009948	Duplication of the distal phalanx of the 2nd finger
HP:0041092	Emotional hypersensitivity
HP:0011310	Bridged palmar crease
MP:0011875	absent stomach
HP:0006608	Midclavicular hypoplasia
HP:0005856	Ulnar radial head dislocation
MP:0030282	broad supraoccipital bone
MP:0002796	impaired skin barrier function
HP:0003065	Patellar hypoplasia
HP:0030969	Abnormal pulmonary vein physiology
HP:0008309	Medium chain dicarboxylic aciduria
MP:0009276	ecchymosis
HP:0025394	Cystic pattern on pulmonary HRCT
HP:0000016	Urinary retention
MP:0014088	abnormal Kimura membrane morphology
MP:0000785	telencephalon hypoplasia
HP:0001114	Xanthelasma
HP:0030572	Pinhole visual acuity 0.4 LogMAR
MP:0008185	decreased naive B cell number
MP:0008184	abnormal naive B cell morphology
HP:0002917	Hypomagnesemia
HP:0032624	Intratubular bilirubin casts
HP:0000468	Increased adipose tissue around the neck
MP:0004093	diffuse Z line
HP:0033125	Follicular lymphoma
HP:0012191	B-cell lymphoma
HP:0410281	Dyspepsia
HP:0012782	Perilobar nephrogenic rest
HP:0032121	Froment sign
HP:0100186	Ivory epiphysis of the middle phalanx of the 4th toe
HP:0009301	Short proximal phalanx of the 4th finger
HP:0011041	Aplasia/Hypoplasia of the cervical spine
MP:0009101	clitoris hypoplasia
MP:0003530	small clitoris
HP:0410055	Decreased level of erythritol in urine
MP:0031033	decreased susceptibility to Poxviridae infection induced morbidity/mortality
HP:0030389	Abnormal circulating thromboxane concentration
HP:0030361	Abnormal circulating eicosanoid concentration
MP:0005388	respiratory system phenotype
MP:0002634	abnormal sensorimotor gating
HP:0025024	Megarectum
HP:0011622	Inlet ventricular septal defect
MP:0008117	abnormal Langerhans cell morphology
HP:0500225	Abnormal CSF serine family amino acid concentration
HP:0001092	Absent lacrimal punctum
MP:0020897	abnormal initiation of locomotor sensitization to cocaine
MP:0020896	abnormal locomotor sensitization to cocaine
MP:0012647	decreased urokinase activity
MP:0011741	increased urine nitrite level
MP:0011740	abnormal urine nitrite level
MP:0014066	Rosenthal fibers
MP:0002532	abnormal type II hypersensitivity reaction
HP:0025289	Cervical lymphadenopathy
MP:0009319	increased small lymphocytic lymphoma incidence
MP:0030446	premature sphenooccipital synchondrosis closure
HP:0030729	Frontoethmoidal meningocele
MP:0000220	increased monocyte cell number
HP:0031673	Orthodromic atrioventricular reentrant tachycardia
HP:0011369	Mongolian blue spot
HP:0032506	Alien limb phenomenon
HP:0032729	Focal emotional seizure with pleasure
MP:0020842	abnormal supporting cell of carotid body physiology
MP:0003438	abnormal carotid body physiology
HP:0031081	Impaired cortisol response to glucagon stimulation test
MP:0020550	multinucleated giant male germ cells
HP:0006585	Congenital pseudoarthrosis of the clavicle
MP:0013916	decreased intestine length
HP:0010868	Ocular dyssynergia
HP:0010867	Dyssynergia
HP:0030784	Anomic aphasia
HP:0005067	Proximal fibular overgrowth
HP:0005235	Jejunal atresia
MP:0012114	absent inner cell mass proliferation
MP:0012170	absent optic placodes
MP:0000661	small prostate gland ventral lobe
HP:0033247	Pulmonary amyloidosis
HP:0002804	Arthrogryposis multiplex congenita
MP:0012517	absent diencephalon
MP:0008334	increased gonadotroph cell number
MP:0010527	bicuspid pulmonary valve
HP:0033026	White oral mucosal macule
HP:0500239	Increased CSF albumin concentration
HP:0004552	Scarring alopecia of scalp
HP:0012232	Shortened QT interval
HP:0001340	Enhancement of the C-reflex
HP:0004717	Axial malrotation of the kidney
HP:0004554	Generalized hypertrichosis
HP:0030675	Contracture of proximal interphalangeal joints of 2nd-5th fingers
HP:0009167	Irregular epiphysis of the distal phalanx of the 5th finger
HP:0100601	Eclampsia
HP:0033488	Glomerular endocapillary leukocyte hypercellularity
HP:0025101	Dysgenesis of the hippocampus
MP:0008035	behavioral arrest
MP:0011329	abnormal inner renal medulla vasa recta morphology
MP:0011333	abnormal kidney inner medulla morphology
MP:0005545	abnormal lens development
MP:0006120	mitral valve prolapse
HP:0041221	Fractured head of femur
HP:0002362	Shuffling gait
MP:0014132	abnormal tear film physiology
HP:4000049	Segmental fracture
MP:0013040	entire body closed contusion
MP:0004475	palatine bone hypoplasia
MP:0005211	increased stomach mucosa thickness
MP:0010799	stomach mucosa hyperplasia
MP:0005339	increased susceptibility to atherosclerosis
MP:0005338	atherosclerotic lesions
HP:0009437	Aplasia/Hypoplasia of the middle phalanx of the 3rd finger
MP:0011356	renal artery stenosis
HP:0200005	Abnormal shape of the palpebral fissure
HP:0007476	Anhidrotic ectodermal dysplasia
HP:0032852	Focal impaired awareness cognitive seizure with conduction dysphasia/aphasia
HP:0032698	Focal cognitive seizure with conduction dysphasia/aphasia
MP:0000522	kidney cortex cyst
HP:0012223	Splenic rupture
MP:0030090	short upper incisors
MP:0009259	abnormal vestibular saccule duct morphology
HP:0006590	Premature sternal synostosis
MP:0013456	abnormal eccrine gland number
HP:0031684	Renal artery atherosclerosis
HP:0009439	Short middle phalanx of the 3rd finger
HP:0012124	Intermediate uveitis
HP:0010567	Y-shaped metatarsals
HP:0005316	Peripheral pulmonary vessel aplasia
MP:0008240	abnormal spleen marginal zone macrophage morphology
MP:0002453	abnormal B lymphocyte antigen presentation
HP:0030362	Reduced muscle carnitine level
MP:0008494	absence of all nails
HP:0012139	Granulocytic hypoplasia
HP:0005254	Unilateral chest hypoplasia
HP:0005257	Thoracic hypoplasia
MP:0001138	abnormal uterine cervix squamous epithelium morphology
MP:0001137	abnormal uterine cervix epithelium morphology
HP:0034036	Pseudo-chilblains on toes
HP:0033197	Hepatic lobular inflammation
HP:0030146	Abnormal liver parenchyma morphology
MP:0010407	coronary sinus atrial septal defect
HP:0033327	Nail psoriasis
MP:0004405	absent cochlear hair cells
HP:0031717	Alternating exotropia
MP:0003983	decreased cholesterol level
MP:0011480	impaired ureteric peristalsis
MP:0003589	abnormal ureter physiology
HP:0200065	Chorioretinal degeneration
HP:0033487	Glomerular basement membranes powdery deposit
HP:0033486	Abnormal glomerular basement membrane texture
HP:0003472	Hypocalcemic tetany
HP:0033411	Lower extremity akinesia
HP:0002304	Akinesia
HP:0009684	Stippling of the epiphysis of the distal phalanx of the thumb
HP:0001922	Vacuolated lymphocytes
HP:0008703	Gonadal calcification
HP:0002792	Reduced vital capacity
HP:0004294	Subluxation of metacarpal phalangeal joints
HP:0032948	Renal interstitial fibrosis
HP:3000010	Abnormality of orbicularis oris muscle
HP:0040099	Abnormality of the round window
MP:0013281	increased cytotoxic T cell cytolysis
MP:0008473	abnormal spleen follicular dendritic cell network
MP:0012529	abnormal decidua basalis morphology
MP:0013940	abnormal plasmablast number
MP:0002943	abnormal lactate dehydrogenase level
HP:0025383	Dorsocervical fat pad
HP:0007307	Rapid neurologic deterioration
HP:3000041	Abnormality of external carotid artery
HP:0008265	Mitochondrial lysine transport defect
MP:0002593	high mean erythrocyte cell number
HP:0012546	Skewed maternal X inactivation
HP:0045054	Brachial plexus neuropathy
HP:0001256	Intellectual disability, mild
MP:0001211	wrinkled skin
HP:0005709	2-3 toe cutaneous syndactyly
HP:0030149	Cardiogenic shock
MP:0009110	pancreas hyperplasia
MP:0005574	decreased pulmonary respiratory rate
HP:0033937	Cortical radial artery intima/media coagulative necrosis
HP:0008001	Foveal hyperpigmentation
MP:0030516	abnormal junctional epithelium morphology
HP:0000260	Wide anterior fontanel
HP:0010998	Increased susceptibility to spontaneous sister chromatid exchange
HP:0006531	Pleural lymphangiectasia
MP:0030170	absent mandibular symphysis
MP:0001649	abnormal mandibular symphysis morphology
HP:0003737	Mitochondrial myopathy
HP:0005472	Orbital craniosynostosis
HP:0002068	Neuromuscular dysphagia
HP:0011949	Acute infectious pneumonia
HP:0100523	Liver abscess
MP:0014045	Mallory bodies
MP:0000607	abnormal hepatocyte morphology
MP:0030275	thin frontal bone
MP:0011758	renal ischemia
MP:0010616	absent mitral valve cusps
MP:0009048	enlarged tectum
HP:0100122	Absent epiphysis of the proximal phalanx of the 2nd toe
HP:0030004	Cicatricial lagophthalmos
HP:0009968	Partial duplication of the distal phalanx of the 3rd finger
MP:0013100	ear open incision
HP:0003297	Hyperlysinuria
HP:0002550	Absent facial hair
MP:0010113	abnormal sacrum morphology
HP:0012619	Multiple bladder diverticula
MP:0009621	primary vitreous hyperplasia
HP:0030863	Nasal flaring
MP:0011073	abnormal macrophage apoptosis
HP:0002766	Relatively short spine
MP:0030186	abnormal major zygomaticus muscle morphology
MP:0030184	abnormal zygomaticus muscle morphology
MP:0013548	submucous cleft hard palate
HP:0008573	Low-frequency sensorineural hearing impairment
MP:0010177	acanthocytosis
HP:0025519	Multiple biliary hamartomas
HP:0000127	Renal salt wasting
HP:0100723	Gastrointestinal stroma tumor
MP:0013556	abnormal holocrine gland physiology
HP:0011316	Left unicoronal synostosis
HP:0011315	Unicoronal synostosis
HP:0030419	Bartholin gland carcinoma
HP:0009648	Triangular shaped distal phalanx of the thumb
MP:0002575	increased circulating ketone body level
MP:0005162	carpoptosis
HP:0010992	Stress urinary incontinence
HP:0031660	Loud first heart sound
MP:0010774	abnormal lymph node follicular mantle morphology
MP:0010729	absent arcus anterior
MP:0009879	abnormal arcus anterior morphology
MP:0030153	dental pulp inflammation
HP:0003866	Coarse humeral trabeculae
HP:0025639	Increased urinary zinc level
HP:0410174	Increased circulating troponin T concentration
HP:0001653	Mitral regurgitation
HP:0032442	Blood group O
MP:0020019	decreased phenylalanine decarboxylase activity
MP:0020018	abnormal phenylalanine decarboxylase activity
MP:0011857	short kidney papilla
MP:0030259	mandibular condyloid process hypoplasia
MP:0030258	small mandibular condyloid process
HP:0012803	Anisometropia
HP:0000539	Abnormality of refraction
MP:0010702	split cervical atlas
HP:0031203	Fatty casts
MP:0001973	increased thermal nociceptive threshold
MP:0004144	hypotonia
HP:0004914	Recurrent infantile hypoglycemia
HP:0001988	Recurrent hypoglycemia
HP:0000971	Abnormal sweat gland morphology
HP:0012818	Biventricular noncompaction cardiomyopathy
HP:0031343	Jejunal arteriovenous malformation
HP:0410252	Chronic neutropenia
HP:0001875	Neutropenia
MP:0008226	decreased anterior commissure size
HP:0010584	Pseudoepiphyses
HP:0003860	Diaphyseal sclerosis of the upper limbs
HP:0010517	Ectopic thymus tissue
MP:0000964	small dorsal root ganglion
MP:0006280	abnormal digit development
MP:0006424	absent testis cords
MP:0010054	increased hepatoblastoma incidence
MP:0003064	decreased coping response
HP:0007536	Aplasia cutis congenita of midline scalp vertex
HP:0004471	Aplasia cutis congenita over the scalp vertex
MP:0008173	increased follicular B cell number
HP:0000576	Centrocecal scotoma
MP:0011022	abnormal circadian regulation of systemic arterial blood pressure
MP:0010697	abnormal systemic arterial blood pressure regulation
MP:0008167	increased B-1a cell number
MP:0008164	abnormal B-1a B cell morphology
MP:0003822	decreased left ventricle systolic pressure
HP:4000036	Encysted hydrocele of the cord
HP:0032460	Decreased phosphoribosylpyrophosphate synthetase level
HP:0031540	Linear IgG deposits along the epidermal basement membrane zone
HP:0012507	Weakness of orbicularis oculi muscle
MP:0013458	decreased eccrine gland number
HP:0040230	Decreased level of tissue plasminogen activator
HP:0008491	Premature anterior fontanel closure
HP:0100719	Lens coloboma
MP:0030414	tympanic membrane perforation
MP:0006018	abnormal tympanic membrane morphology
MP:0011893	increased circulating transferrin level
HP:0012554	Absent thumbnail
HP:0001817	Absent fingernail
HP:0010759	Prominence of the premaxilla
MP:0020514	abnormal dendritic thin spine morphology
MP:0005386	behavior/neurological phenotype
MP:0030950	abnormal synaptic vesicle exocytosis
HP:0011551	Right sided atrium to left ventricle and absent left sided atrioventricular connection
HP:0011547	Absent left sided atrioventricular connection
HP:0000160	Narrow mouth
HP:0011337	Abnormality of mouth size
MP:0003557	absent vas deferens
MP:0031245	increased circulating CSF3 level
MP:0020336	abnormal motor neuron dendrite morphology
MP:0008544	impaired olfaction
MP:0001984	abnormal olfaction
MP:0003250	absent gallbladder
HP:0033427	Pulmonary capillary angioectasia
MP:0003196	calcified skin
HP:0033200	Triceps hyporeflexia
HP:0005268	Spontaneous abortion
HP:0033967	Interlobular vein intima/media venulitis
MP:0011449	increased dopaminergic neuron number
HP:0003713	Muscle fiber necrosis
MP:0010229	increased transitional stage T3 B cell number
HP:0006362	Varus deformity of humeral neck
HP:0003887	Abnormality of the humeral heads
HP:0005249	Functional intestinal obstruction
HP:0010970	Blood group antigen abnormality
HP:0031584	Tessier number 12 facial cleft
MP:0012207	decreased neuronal stem cell self-renewal
HP:0008677	Congenital nephrotic syndrome
MP:0013288	premature acrosome reaction
HP:0004727	Impaired renal concentrating ability
HP:0031603	Impaired nasal mucociliary clearance
HP:0031602	Abnormal mucociliary clearance
MP:0010074	stomatocytosis
HP:0011132	Chronic furunculosis
HP:0003149	Hyperuricosuria
MP:0010409	cor triatriatum
HP:0004818	Paroxysmal nocturnal hemoglobinuria
HP:0003641	Hemoglobinuria
HP:0031751	Lateral rectus muscle underaction
HP:0031750	Lateral rectus muscle weakness
HP:0002869	Flared iliac wing
HP:0002074	Increased neuronal autofluorescent lipopigment
HP:0030381	Increased proportion of transitional B cells
HP:0030379	Abnormal proportion of transitional B cells
MP:0004106	lymphatic vessel hyperplasia
HP:0033343	Mucoid diarrhea
HP:0030790	Abnormal cerumen color
MP:0013086	tail open incision
MP:0030353	wide sagittal suture
MP:0008261	arrest of male meiosis
MP:0001155	arrest of spermatogenesis
HP:0012063	Aneurysmal bone cyst
HP:0030170	Cystic artery pseudoaneurysm
HP:0001452	Autosomal dominant contiguous gene syndrome
HP:0001466	Contiguous gene syndrome
HP:0005739	Posterior subluxation of radial head
HP:0003048	Radial head subluxation
MP:0009118	increased white fat cell size
MP:0005278	abnormal cholesterol homeostasis
MP:0013199	increased head mesenchyme apoptosis
MP:0003037	increased myocardial infarct size
HP:0007029	Cerebral berry aneurysm
HP:0003318	Cervical spine hypermobility
MP:0004361	bowed ulna
MP:0003778	lip telangiectases
MP:0005541	abnormal iris stromal pigmentation
HP:0025594	Superior oblique muscle overaction
MP:0030502	abnormal incisive foramen morphology
MP:0013043	thorax open avulsion
HP:0008107	Plantar crease between first and second toes
MP:0009740	small prostate gland dorsolateral lobe
MP:0030589	increased pancreatic alpha cell mass
MP:0001255	decreased body height
MP:0020109	decreased nitrite level
MP:0001701	incomplete embryo turning
HP:0012005	Deja vu aura
MP:0000734	muscle hypoplasia
HP:0030746	Intraventricular hemorrhage
HP:0032219	Increased proportion of CD4-positive T cells
MP:0011967	increased or absent threshold for auditory brainstem response
HP:0100357	Contracture of the metatarsophalangeal joint of the 3rd toe
HP:0009798	Euthyroid goiter
HP:0030209	Calcium channel antibody positivity
MP:0001728	failure of embryo implantation
HP:0500058	Retinopathy of prematurity stage 5b
HP:0500056	Retinopathy of prematurity stage 5
MP:0010123	increased bone mineral content
MP:0010122	abnormal bone mineral content
HP:0006323	Premature loss of primary teeth
HP:0032903	Focal vocal automatism seizure
MP:0000601	small liver
HP:0033340	Increased circulating guanosine concentration
HP:0004368	Increased circulating purine concentration
HP:0033898	Arcuate artery intraluminal thrombi
HP:0033896	Abnormal arcuate artery lumen morphology
MP:0031272	abnormal susceptibility to induced aneurysm formation
HP:0032934	Spontaneous cerebrospinal fluid leak
MP:0030809	abnormal humeroradial joint morphology
HP:0012589	Multidrug-resistant nephrotic syndrome
HP:0006280	Chronic pancreatitis
HP:5000013	Anti-GFAP antibody
HP:0020120	Retinal nerve fiber edema
MP:0030380	abnormal frontal bone zygomatic process morphology
MP:0012369	abnormal erythrocyte potassium level
HP:0004789	Lactose intolerance
MP:0008066	small endolymphatic duct
HP:0003179	Protrusio acetabuli
HP:0006344	Abnormality of primary molar morphology
MP:0001032	abnormal peptidergic neuron morphology
MP:0010675	decreased activation-induced B cell apoptosis
HP:0040313	Oligoarthritis
HP:0001051	Seborrheic dermatitis
HP:0004319	Decreased circulating aldosterone level
HP:0002185	Neurofibrillary tangles
HP:0002870	Obstructive sleep apnea
HP:0011461	Fetal onset
MP:0031016	decreased granulosa cell apoptosis
HP:0031876	Decreased hepcidin level
HP:0033992	Chronotropic incompetence
MP:0012303	umbilical vein stenosis
HP:0000506	Telecanthus
MP:0011377	renal glomerulus fibrosis
MP:0011802	seminal vesiculitis
HP:0030623	Intraretinal hyporeflective spaces on macular OCT
HP:0030625	Hyporeflective spaces on macular OCT
MP:0031197	calcified testicular artery
MP:0006133	calcified artery
HP:0033572	Anti-H1 antibody positivity
HP:0009019	Progressive loss of facial adipose tissue
MP:0004316	enlarged vestibular saccule
HP:0010029	Curved 1st metacarpal
HP:0033628	Bowel irritability
HP:0000207	Triangular mouth
HP:0031337	Abnormal cardiomyocyte connexin43 staining
MP:0009852	increased Sertoli cell phagocytosis
MP:0011890	increased circulating ferritin level
MP:0011889	abnormal circulating ferritin level
MP:0004984	increased osteoclast cell number
HP:0009704	Chronic CSF lymphocytosis
HP:0200149	CSF lymphocytic pleiocytosis
HP:0033736	Grade II vesicoureteral reflux
HP:0033733	Low-grade vesicoureteral reflux
MP:0012680	absent lateral ventricles
HP:0410232	Increased anti-fungi IgE antibody level
MP:0003571	uterus rupture
MP:0030638	increased circulating taurine level
HP:0100588	Paraphimosis
HP:0100587	Abnormal preputium morphology
HP:0032861	Focal non-convulsive status epilepticus with impairment of consciousness
HP:0012117	Hyperalbuminemia
HP:0012116	Abnormal circulating albumin concentration
HP:0012036	Sternocleidomastoid amyotrophy
MP:0031164	decreased circulating von Willebrand factor level
HP:0001864	Clinodactyly of the 5th toe
HP:0032590	Renal neutrophilic tubulitis
HP:0012430	Cerebral white matter hypoplasia
MP:0011325	abnormal kidney arcuate vein morphology
HP:0030597	Abnormal Humphrey SITA 24-2 perimetry test
HP:0032189	Cellular hypersensitivity to diepoxybutane
HP:0032473	Decreased urine urobilinogen
HP:0032472	Abnormal urine urobilinogen level
HP:0006561	Lipid accumulation in hepatocytes
HP:0008339	Diaminoaciduria
HP:0020171	Decreased blood drug concentration
HP:0011612	Interrupted aortic arch type A
HP:0011611	Interrupted aortic arch
HP:0011389	Functional abnormality of the inner ear
HP:0031847	Difficulty walking backward
MP:0003423	reduced thrombolysis
MP:0003422	abnormal thrombolysis
HP:0011286	Total colonic aganglionosis
MP:0020585	increased corpus callosum cell density
HP:0006256	Abnormality of hand joint mobility
MP:0003978	decreased circulating carnitine level
MP:0005422	osteosclerosis
HP:0100780	Conjunctival hamartoma
HP:0008783	Wide proximal femoral metaphysis
HP:0010426	Complete duplication of the middle phalanx of the 2nd toe
MP:0030591	absent sperm fibrous sheath
MP:0012456	decreased mammillothalamic tract size
HP:0000128	Renal potassium wasting
MP:0003400	kinked neural tube
HP:0000227	Tongue telangiectasia
HP:0012197	Insulinoma
MP:0031127	dry gangrene
MP:0031126	gangrene
HP:0012360	Decreased fucosylation of O-linked protein glycosylation
MP:0013953	left sided brachiocephalic trunk
MP:0010663	abnormal brachiocephalic trunk morphology
HP:0003910	Enlarged humeral metaphyses
HP:0003051	Enlarged metaphyses
HP:0010381	Abnormality of the middle phalanx of the 4th toe
HP:0007230	Decreased distal sensory nerve action potential
HP:0007078	Decreased amplitude of sensory action potentials
MP:0008169	increased B-1b cell number
MP:0004977	increased B-1 B cell number
MP:0013909	small third ventricle
